t,x,y,z,vx,vy,vz,speed
0.00000000,0.40170832,0.89751730,1.02971545,-2.78483354,5.43119404,3.48018863,7.02601448
0.01666670,0.34145082,0.97654515,1.06376697,-2.56440937,5.15981109,3.40258498,6.69159401
0.03333340,0.29593285,1.06111343,1.11502684,-2.34398520,4.88842813,3.32498132,6.35975604
0.05000010,0.26152518,1.14357893,1.17761567,-2.12356103,4.61704517,3.24737766,6.03092689
0.06666680,0.23502822,1.21882494,1.23771286,-1.90313686,4.34566221,3.16977400,5.70562680
0.08333350,0.20935936,1.28944313,1.29242321,-1.68271269,4.07427925,3.09217035,5.38449541
0.10000020,0.18647111,1.35449354,1.34475046,-1.42017450,3.81663949,3.05760305,5.09240307
0.11666690,0.15995120,1.41736666,1.39579149,-1.19978588,3.53232296,2.97522075,4.77165906
0.13333360,0.13636405,1.47312398,1.43955708,-1.00233559,3.25157597,2.87921528,4.45727535
0.15000030,0.11823029,1.52337815,1.48145641,-0.80562227,2.98696079,2.79579893,4.16982657
0.16666700,0.10937115,1.57010115,1.52596597,-0.60741149,2.73313022,2.71686294,3.90131949
0.18333370,0.10529272,1.61360841,1.57242324,-0.42198477,2.49713043,2.60998336,3.63672170
0.20000040,0.10286373,1.65221171,1.62257077,-0.25840417,2.27223518,2.46667363,3.36367421
0.21666710,0.10135714,1.68717192,1.66782452,-0.13667823,2.07170074,2.30522417,3.10236738
0.23333380,0.10346097,1.71934002,1.70789347,-0.05946548,1.89679098,2.11532682,2.84182331
0.25000050,0.10419356,1.74815139,1.74347521,-0.01638771,1.74498186,1.90806490,2.58571883
0.26666720,0.10414175,1.77581282,1.76872926,0.02165265,1.61272727,1.69057980,2.33653978
0.28333390,0.10255387,1.79909795,1.78784002,0.05581042,1.49809794,1.48433588,2.10965999
0.30000060,0.10224759,1.82150341,1.80855744,0.07808708,1.38800251,1.30663844,1.90786597
0.31666730,0.10268990,1.84481770,1.82816102,0.09020132,1.27853491,1.14790430,1.72060224
0.33333400,0.10519939,1.86732170,1.84923559,0.10119913,1.17012920,0.99620823,1.54008910
0.35000070,0.11137714,1.88721281,1.86563144,0.10798111,1.06014601,0.84505436,1.36003175
0.36666740,0.11524883,1.90488904,1.88193758,0.09790361,0.94840822,0.67512102,1.16826865
0.38333410,0.11579843,1.91848364,1.89413048,0.06712302,0.82905245,0.46690654,0.95385280
0.40000080,0.11646704,1.93001597,1.90109115,0.02038843,0.70430985,0.23785833,0.74366972
0.41666750,0.11655507,1.94037242,1.90224236,-0.03237665,0.59040882,-0.00597112,0.59132603
0.43333420,0.11674897,1.94942685,1.89861287,-0.07848359,0.49401777,-0.25042036,0.55939573
0.45000090,0.11314041,1.95584486,1.89244971,-0.09398188,0.42725063,-0.47721035,0.64738351
0.46666760,0.10925444,1.96111586,1.88022445,-0.08443931,0.38543134,-0.67670043,0.78333313
0.48333430,0.10511229,1.96465772,1.86620138,-0.07362799,0.35405298,-0.85438489,0.92776513
0.50000100,0.10294327,1.96928668,1.84878607,-0.07377452,0.31649241,-1.00928836,1.06031746
0.51666770,0.10242387,1.97359601,1.82739434,-0.07397525,0.27874066,-1.16053416,1.19582951
0.53333440,0.10567867,1.98184367,1.80982614,-0.07387473,0.23954350,-1.32246627,1.34601471
0.55000110,0.10907461,1.98870593,1.78910769,-0.08916295,0.18330363,-1.48549945,1.49941951
0.56666780,0.10764546,1.99298413,1.76390566,-0.12777863,0.11399631,-1.64133639,1.65024474
0.58333450,0.10119464,1.99177861,1.73786093,-0.18752680,0.03281016,-1.76775323,1.77797477
0.60000120,0.09801465,1.99163331,1.70517458,-0.26043648,-0.06267560,-1.88685451,1.90577421
0.61666790,0.09418434,1.99049019,1.66619810,-0.34191251,-0.16965675,-2.01724276,2.05303578
0.63333460,0.08835915,1.98475223,1.62670720,-0.42338854,-0.27663790,-2.14763100,2.20637832
0.65000130,0.07951264,1.97941710,1.59086764,-0.50486457,-0.38361906,-2.27801925,2.36461911
0.66666800,0.07078626,1.97447154,1.56061136,-0.58634060,-0.49060021,-2.40840750,2.52683805
0.68333470,0.06169799,1.96563635,1.52307411,-0.66781663,-0.59758136,-2.53879575,2.69231617
